address,name,rubrics,attributes,address.postcode,lat,lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address_comment,city,rubrics_new,district,postcode_3
деревня Сосенки,"New Moscow, ресторан","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",,108802.0,55.554086,37.431872,4.9,11.0,17.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,11.0,17.0,,Москва,"Бары, Рестораны, Доставка еды",,108
Куприна проспект,"Z.a.m.i.n, гастролаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,108826.0,55.546534,37.488125,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,,Москва,Бары,,108
улица Эдварда Грига,"Слеза комсомолки, рюмочная","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'ryumochnye', 'id': '52248', 'kind': 'primary', 'name': 'Рюмочные', 'parent_id': '2', 'short_id': 52248}]",,108834.0,55.557202,37.506877,5.0,1.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,2.0,1 этаж,Москва,"Бары, Рюмочные",,108
Скандинавский бульвар,"Rich man celebrity, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",,108834.0,55.55686,37.510902,5.0,21.0,23.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,50.0,67.0,,Москва,"Бары, Центры паровых коктейлей",,108
Скандинавский бульвар,"The Beer, крафтовый бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,108801.0,55.562626,37.501272,5.0,9.0,17.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,54.0,,Москва,Бары,,108
улица Александры Монаховой,"The Beer, крафтовый бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,108826.0,55.543761,37.481012,4.7,6.0,14.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,54.0,,Москва,Бары,,108
улица Александры Монаховой,"Брискетная №1, паб","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",,108826.0,55.542578,37.480596,4.5,12.0,16.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.5,12.0,16.0,,Москва,"Бары, Доставка еды",,108
улица Липовый парк,"Прости, гастро-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",,108801.0,55.565758,37.486241,5.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,2.0,2.0,1 этаж,Москва,"Бары, Кафе, Доставка еды",,108
улица Эдварда Грига,"Невод, бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}]",2000.0,108834.0,55.555375,37.508094,5.0,3.0,5.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,3.0,5.0,1 этаж,Москва,"Бары, Рестораны",,108
Скандинавский бульвар,"Сканди, бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,108801.0,55.564202,37.50296,1.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",1.0,2.0,2.0,1 этаж,Москва,Бары,,108
