"rent, rub/month",address,city,"price_per_sqm, rub/month","square, m^2",type,url,OSM_address,address_info,district,lat,lon,nearest_metro,distance_km,distance_center_km,distance_center_m,square_category,square_category_encoding
200000,Тосина,Санкт-Петербург,2361,84,Универсальное помещение,https://spb.n1.ru/view/115905928/?open_card_kn,"Тосина, 1 корп. 2, Санкт-Петербург, Россия","{'district': 'округ Волковское', 'lat': 59.9026624, 'lon': 30.3492357}",округ Волковское,59.9026624,30.3492357,"Санкт-Петербург, Волковская",0.8797842474061954,4.5,4500,Средняя,2
330000,Заставская,Санкт-Петербург,6600,50,Универсальное помещение,https://spb.n1.ru/view/115285927/?open_card_kn,"Заставская, 30, Санкт-Петербург, Россия","{'district': 'округ Московская застава', 'lat': 59.8873312, 'lon': 30.3437813}",округ Московская застава,59.8873312,30.3437813,"Санкт-Петербург, Волковская",1.249200816154861,5.93,5930,Средняя,2
490000,Науки проспект,Санкт-Петербург,8750,56,Универсальное помещение,https://spb.n1.ru/view/115986821/?open_card_kn,"Науки проспект, 23 корп. 2, Санкт-Петербург, Россия","{'district': 'округ Пискарёвка', 'lat': 60.0037408, 'lon': 30.4352109}",округ Пискарёвка,60.0037408,30.4352109,"Санкт-Петербург, Академическая",2.414211067563522,10.22,10220,Средняя,2
31500,Индустриальный проспект,Санкт-Петербург,750,42,Универсальное помещение,https://spb.n1.ru/view/115970363/?open_card_kn,"Индустриальный проспект, 11, Санкт-Петербург, Россия","{'district': 'округ Пороховые', 'lat': 59.9384646, 'lon': 30.4772833}",округ Пороховые,59.9384646,30.4772833,"Санкт-Петербург, Проспект Большевиков",2.159402619052288,9.43,9430,Маленькая,1
350000,Маяковского,Санкт-Петербург,5833,60,Универсальное помещение,https://spb.n1.ru/view/115613437/?open_card_kn,"Маяковского, 3, Санкт-Петербург, Россия","{'district': 'Литейный округ', 'lat': 59.9339801, 'lon': 30.3550414}",Литейный округ,59.9339801,30.3550414,"Санкт-Петербург, Маяковская",0.2652157389059218,2.63,2630,Средняя,2
95000,Выборгское шоссе,Санкт-Петербург,2300,41,Универсальное помещение,https://spb.n1.ru/view/114195214/?open_card_kn,"Выборгское шоссе, 15, Санкт-Петербург, Россия","{'district': 'округ Шувалово-Озерки', 'lat': 60.0528093, 'lon': 30.3120543}",округ Шувалово-Озерки,60.0528093,30.3120543,"Санкт-Петербург, Проспект Просвещения",1.1554532355009075,12.85,12850,Маленькая,1
159120,Салова,Санкт-Петербург,2600,61,Универсальное помещение,https://spb.n1.ru/view/114501131/?open_card_kn,"Салова, 61, Санкт-Петербург, Россия","{'district': 'округ Волковское', 'lat': 59.8849503, 'lon': 30.368332}",округ Волковское,59.8849503,30.368332,"Санкт-Петербург, Бухарестская",0.1665904441495153,6.74,6740,Средняя,2
200000,Лисичанская,Санкт-Петербург,2985,67,Универсальное помещение,https://spb.n1.ru/view/115181879/?open_card_kn,"Лисичанская, 22, Санкт-Петербург, Россия","{'district': 'округ Ланское', 'lat': 59.986492, 'lon': 30.3082139}",округ Ланское,59.986492,30.3082139,"Санкт-Петербург, Чёрная речка",0.42426219581425173,5.46,5460,Средняя,2
400000,Кирочная,Санкт-Петербург,5194,77,Универсальное помещение,https://spb.n1.ru/view/116199898/?open_card_kn,"Кирочная, 19, Санкт-Петербург, Россия","{'district': 'Литейный округ', 'lat': 59.9435953, 'lon': 30.360381}",Литейный округ,59.9435953,30.360381,"Санкт-Петербург, Чернышевская",0.10586840557738746,2.97,2970,Средняя,2
351540,Невский проспект,Санкт-Петербург,2100,167,Универсальное помещение,https://spb.n1.ru/view/116182659/?open_card_kn,"Невский проспект, 173, Санкт-Петербург, Россия","{'district': 'округ Смольнинское', 'lat': 59.9241356, 'lon': 30.3830244}",округ Смольнинское,59.9241356,30.3830244,"Санкт-Петербург, Площадь Александра Невского-2",0.06652399312117382,4.42,4420,Большая,3
