Город,Район,Индекс
Москва,район Коммунарка,108
Москва,Чернево,125
Москва,Гавриково,125
Москва,район Северное Бутово,117
Москва,Бабушкинский район,129
Москва,район Зябликово,115
Москва,район Ясенево,117
Москва,район Чертаново Южное,115
Москва,район Нагатино-Садовники,115
Москва,район Бирюлёво Восточное,115
Москва,Орехово-Борисово Южное,115
Москва,район Черёмушки,117
Москва,район Чертаново Северное,115
Москва,район Чертаново Центральное,115
Москва,район Орехово-Борисово Северное,115
Москва,Ново-Переделкино,119
Москва,район Солнцево,119
Москва,Тропарёво-Никулино,119
Москва,район Коньково,117
Москва,район Москворечье-Сабурово,115
Москва,Красносельский район,107
Москва,район Марьино,109
Москва,Курьяново,109
Москва,Можайский район,121
Москва,район Северное Тушино,123
Москва,район Савёлки,124
Москва,район Раменки,119
Москва,Гагаринский район,119
Москва,район Проспект Вернадского,119
Москва,район Очаково-Матвеевское,119
Москва,Академический район,117
Москва,район Зюзино,117
Москва,район Нагатинский Затон,115
Москва,Нагорный район,117
Москва,район Капотня,109
Москва,район Выхино-Жулебино,109
Москва,Донской район,117
Москва,Даниловский район,117
Москва,район Кузьминки,109
Москва,район Текстильщики,109
Москва,район Печатники,109
Москва,Головинский район,125
Москва,район Хамовники,119
Москва,район Некрасовка,111
Москва,район Дорогомилово,121
Москва,район Якиманка,119
Москва,район Замоскворечье,115
Москва,Обручевский район,117
Москва,Южнопортовый район,115
Москва,Нижегородский район,109
Москва,Мещанский район,129
Москва,Рязанский район,109
Москва,район Вешняки,111
Москва,район Новокосино,111
Москва,район Кунцево,121
Москва,Пресненский район,123
Москва,район Филёвский Парк,121
Москва,район Арбат,119
Москва,район Хорошёво-Мнёвники,123
Москва,Басманный район,105
Москва,Таганский район,109
Москва,район Покровское-Стрешнево,125
Москва,Тверской район,103
Москва,район Соколиная Гора,105
Москва,район Лефортово,111
Москва,район Перово,111
Москва,район Крылатское,121
Москва,район Сокол,125
Москва,Хорошёвский район,125
Москва,район Строгино,123
Москва,район Щукино,123
Москва,Бутырский район,127
Москва,район Аэропорт,125
Москва,Савёловский район,125
Москва,Войковский район,125
Москва,район Сокольники,107
Москва,район Измайлово,105
Москва,район Гольяново,105
Москва,район Богородское,107
Москва,район Внуково,119
Москва,район Митино,125
Москва,Молжаниновский район,125
Москва,район Северный,127
Москва,район Марфино,127
Москва,Останкинский район,129
Москва,Тимирязевский район,127
Москва,район Марьина Роща,129
Москва,Алексеевский район,129
Москва,район Ховрино,125
Москва,район Южное Тушино,123
Москва,Алтуфьевский район,127
Москва,район Западное Дегунино,127
Москва,Бескудниковский район,127
Москва,район Свиблово,129
Москва,Ярославский район,129
Москва,район Бибирево,127
Москва,район Отрадное,127
Москва,район Северное Медведково,129
Москва,Лосиноостровский район,129
Москва,район Южное Медведково,129
Москва,район Северное Измайлово,105
Санкт-Петербург,округ Звёздное,196
Санкт-Петербург,Южно-Приморский округ,198
Санкт-Петербург,округ Княжево,192
Санкт-Петербург,Балканский округ,192
Санкт-Петербург,Владимирский округ,192
Санкт-Петербург,Александровский округ,194
Санкт-Петербург,округ Волковское,192
Санкт-Петербург,Рыбацкое,192
Санкт-Петербург,округ Автово,198
Санкт-Петербург,округ Измайловское,198
Санкт-Петербург,округ Московская застава,196
Санкт-Петербург,округ № 72,190
Санкт-Петербург,Екатерингофский округ,190
Санкт-Петербург,округ Лиговка-Ямская,190
Санкт-Петербург,Весёлый Посёлок,195
Санкт-Петербург,округ Семёновский,190
Санкт-Петербург,Адмиралтейский округ,190
Санкт-Петербург,округ Коломна,190
Санкт-Петербург,округ № 78,190
Санкт-Петербург,Сенной округ,190
Санкт-Петербург,округ Малая Охта,195
Санкт-Петербург,округ Правобережный,195
Санкт-Петербург,округ Морской,197
Санкт-Петербург,округ № 7,197
Санкт-Петербург,округ Комендантский аэродром,197
Санкт-Петербург,округ Остров Декабристов,199
